Timestamp,"Here's an opportunity to earn 0, 2,  or 6 additional percentage points on your first quiz in this class. All you have to do is choose whether you prefer  2 or 6 additional (percentage) points on your first turn-in. Here's the small catch: if more than 10% of the respondents choose 6 points, then no one gets any points.",Who is your AP Statistics Teacher?,With which gender do you identify?,What is your age?  (Just give the number! No units),"To the nearest inch, approximately how tall are you?  (Just give the number! No units)","What is your shoe size?  (example: ""eight and a half"" should be reported as 8.5 )  ",How many siblings do you have?,"To the nearest mile, what is the distance from your home to school?  (Just give the number!  No units)","To the nearest dollar, what is the maximum you would spend for a truly GREAT haircut?  (Just give the number! No units)",How many Instagram followers do you have?  You may look at your phone / computer to check.,How many people are you following on Instagram?  You may look at your phone / computer to check.,How many posts have you made on Instagram? You may look at your phone / computer to check.,Which is your preferred social media app?,"Take a guess: to the nearest year, how old do you think your teacher is?  (Just give the number! No units)","Indicate your agreement level with this statement: ""The most important achievement for a high school student is to get high grades.""  ","Indicate your agreement level with this statement:  ""More should be done by teachers and deans to detect and discourage cheating and plagiarism at Harvard-Westlake.""","Indicate your agreement level with this statement:  ""At the end of the day, competition against others is more productive than collaboration with others.""  ",Pick one:  Which component of the HW mission statement is most valuable/important to you?,"How many languages, other than English, do you speak reasonably well?","To the nearest dollar, approximately how much did you spend on your last haircut?  (Just give the number! No units)",How would you describe the political affiliation of your parents?,How would you describe your own political affiliation?,True or False:  A hotdog on a bun is a sandwich.,This dress is,Do you think that there more doors or wheels in the world?,Can you sing reasonably well?,Have you ever participated in Harvard-Westlake performing arts?,Pick a whole number from 1 to 10 (including possibly 1 or 10).,Do you think you can run reasonably well in high heels?,What is the value of:,Which is bigger:,Approximately how many of the 50 United States have you been in?,Do you know how to drive stick shift?,iPhone or Android?,"There is a runaway trolley barreling down the railway tracks. Ahead, on the tracks, there are five people tied up and unable to move. The trolley is headed straight for them. You are standing some distance off in the train yard, next to a lever. If you pull this lever, the trolley will switch to a different set of tracks. However, you notice that there is one person on the side track. You have two (and only two) options:
Do nothing, in which case the trolley will kill the five people on the main track.Pull the lever, diverting the trolley onto the side track where it will kill one person.
Which is the more ethical option? Or, more simply: What is the right thing to do?","As in the last question, a trolley is hurtling down a track towards five people. You are on a bridge under which it will pass, and you can stop it by putting something very heavy in front of it. As it happens, there is a very large man next to you – your only way to stop the trolley is to push him over the bridge and onto the track, killing him to save five. Should you proceed?","You are a doctor caring for five patients all of whom are going to die if they do not receive a specific organ transplant immediately.  One patient needs a heart, another a spleen, another needs a liver, another needs a lung, and the last needs a pancreas.
Into your clinic walks a perfectly healthy person who happens to be a universal donor.  You can save the five patients by taking the organs from this one healthy person.  Should you proceed?","At any point, while answering any of the last three questions, did you go back and change any of your answers?","To the nearest minute, approximately how long do you think it would take you to run one mile.",Do you play a sport at Harvard-Westlake?,Star Wars or Star Trek?,Nvidia or AMD?,Are you a vegetarian?,In 'N' Out or Shake Shack?,What did you hear?,How many triangles do you see?
8/24/2023 13:54:34,6 points,Dr. Lamberto-Egan,Female,17,63,9,3,11,300,856,996,0,TikTok,41,Strongly Agree,Disagree,Strongly Disagree,joyful pursuit of educational excellence,1,150,left of center,left of center,FALSE,Black and Blue,Wheels,no,no,3,yes,19,Option B,7,no,iPhone,Pull the lever (one person dies).,Push the large man (one person dies).,Do nothing (five people die).,Yes,7,yes,Star Wars,What are you talking about?,No,Shake Shack,Yanny,13
8/24/2023 21:53:38,2 points,Dr. Lamberto-Egan,Male,17,71,10.5,1,10,120,1002,810,0,Instagram,40,Disagree,Disagree,Disagree,joyful pursuit of educational excellence,0,100,center,center,FALSE,White and Gold,Wheels,no,yes,7,no,19,Option A,10,yes,iPhone,Pull the lever (one person dies).,Do nothing (five people die).,Do nothing (five people die).,No,6,no,Star Wars,What are you talking about?,No,Shake Shack,Laural,8
8/24/2023 22:02:07,2 points,Dr. Lamberto-Egan,Male,17,69,11,1,17,45,0,0,0,Facebook,36,Agree,Strongly Agree,Disagree,A diverse and inclusive community,0,40,left of center,left of center,FALSE,White and Gold,Wheels,no,yes,4,no,19,Option A,14,no,iPhone,Pull the lever (one person dies).,Do nothing (five people die).,Do nothing (five people die).,No,4,yes,Star Wars,Nvidia,No,In 'N' Out,Laural,19
8/24/2023 22:58:52,6 points,Dr. Lamberto-Egan,Female,18,62,5.5,2,7,100,3905,2417,36,Instagram,43,Disagree,Agree,Strongly Disagree,A diverse and inclusive community,2,30,left of center,left of center,FALSE,Black and Blue,Wheels,yes,yes,7,yes,19,Option B,17,no,iPhone,Pull the lever (one person dies).,Push the large man (one person dies).,Do nothing (five people die).,No,7,no,What are you talking about?,Nvidia,No,In 'N' Out,Laural,24
8/25/2023 7:59:25,2 points,Dr. Lamberto-Egan,Male,17,70,10.5,1,9,150,252,313,8,TikTok,35,Agree,Disagree,Disagree,A diverse and inclusive community,1,50,left of center,left of center,TRUE,White and Gold,Wheels,yes,yes,4,yes,,Option A,10,no,iPhone,Pull the lever (one person dies).,Do nothing (five people die).,Do nothing (five people die).,No,5,yes,Star Wars,AMD,No,Shake Shack,Laural,
8/25/2023 8:03:23,2 points,Dr. Lamberto-Egan,Female,17,68,9.5,4,21,300,2063,993,3,TikTok,41,Agree,Disagree,Strongly Disagree,purpose beyond ourselves,0,250,far left,left of center,FALSE,White and Gold,Wheels,yes,no,8,yes,6,Option B,20,no,iPhone,Pull the lever (one person dies).,Do nothing (five people die).,Harvest the organs from the healthy person (one person dies).,No,6,no,What are you talking about?,What are you talking about?,I'm vegan actaully,What are you talking about?,Yanny,6
8/23/2023 10:54:12,2 points,Mr. Stout,Female,16,63,7.5,1,30,200,2064,1545,0,TikTok,40,Agree,Disagree,Strongly Disagree,purpose beyond ourselves,1,80,center,left of center,FALSE,Black and Blue,Doors,no,yes,10,yes,19,Option B,20,no,iPhone,Pull the lever (one person dies).,Do nothing (five people die).,Do nothing (five people die).,Yes,9,no,Star Wars,What are you talking about?,No,In 'N' Out,Yanny,24
8/23/2023 10:55:50,6 points,Mr. Stout,Male,17,78,11.5,1,1,25,1124,600,0,TikTok,32,Agree,Disagree,Strongly Disagree,joyful pursuit of educational excellence,0,20,right of center,right of center,FALSE,White and Gold,Wheels,no,yes,1,yes,19,Option A,10,no,iPhone,Pull the lever (one person dies).,Push the large man (one person dies).,Harvest the organs from the healthy person (one person dies).,No,8,yes,Star Wars,What are you talking about?,No,Shake Shack,Yanny,24
8/23/2023 10:55:53,2 points,Mr. Stout,Female,17,66,7.5,2,8,115,1796,953,0,TikTok,40,Agree,Agree,Disagree,purpose beyond ourselves,1,115,right of center,center,FALSE,Black and Blue,Wheels,no,no,8,no,19,Option A,7,no,iPhone,Pull the lever (one person dies).,Push the large man (one person dies).,Do nothing (five people die).,Yes,10,no,What are you talking about?,What are you talking about?,No,In 'N' Out,Laural,16
8/23/2023 10:55:53,2 points,Mr. Stout,Female,17,64,9,2,3,200,1817,1465,6,TikTok,45,Strongly Disagree,Disagree,Strongly Disagree,purpose beyond ourselves,0,150,center,center,FALSE,Black and Blue,Doors,no,yes,7,no,19,Option A,13,no,iPhone,Pull the lever (one person dies).,Do nothing (five people die).,Do nothing (five people die).,Yes,11,yes,Star Wars,What are you talking about?,No,In 'N' Out,Laural,21
8/23/2023 10:56:04,2 points,Mr. Stout,Female,17,65,9,1,3,140,1581,1520,95,Instagram,35,Agree,Agree,Disagree,living and learning with integrity,1,60,left of center,left of center,FALSE,White and Gold,Doors,no,no,8,yes,19,Option A,32,no,iPhone,Pull the lever (one person dies).,Push the large man (one person dies).,Do nothing (five people die).,No,8,no,Star Trek,What are you talking about?,No,Shake Shack,Yanny,16
8/23/2023 10:57:47,2 points,Mr. Stout,Male,18,71,10.5,2,5,40,1200,900,2,TikTok,35,Agree,Disagree,Disagree,joyful pursuit of educational excellence,0,25,center,center,FALSE,White and Gold,Doors,no,yes,5,no,3,Option A,10,no,iPhone,Pull the lever (one person dies).,Push the large man (one person dies).,Do nothing (five people die).,No,6,yes,Star Wars,What are you talking about?,No,In 'N' Out,Laural,16
8/23/2023 10:57:48,2 points,Mr. Stout,Female,17,68,9,1,1,300,898,1836,17,TikTok,30,Disagree,Disagree,Strongly Disagree,living and learning with integrity,1,80,left of center,left of center,FALSE,White and Gold,Doors,yes,yes,3,no,3,Option B,17,no,iPhone,Pull the lever (one person dies).,Push the large man (one person dies).,Do nothing (five people die).,Yes,10,no,Star Trek,What are you talking about?,No,Shake Shack,Yanny,19
8/23/2023 10:58:14,2 points,Mr. Stout,Female,16,66,9.5,1,19,100,926,882,0,Instagram,38,Strongly Agree,Agree,Strongly Disagree,joyful pursuit of educational excellence,1,40,far left,far left,FALSE,Black and Blue,Wheels,yes,yes,7,no,19,Option B,9,no,iPhone,Do Nothing (five people die).,Do nothing (five people die).,Do nothing (five people die).,No,8,yes,Star Wars,What are you talking about?,No,In 'N' Out,Yanny,23
8/23/2023 10:58:20,2 points,Mr. Stout,Female,17,63,7.5,2,4.2,80,1536,996,25,Instagram,38,Agree,Agree,Disagree,purpose beyond ourselves,1,70,center,left of center,FALSE,White and Gold,Wheels,no,yes,4,yes,2.8,Option A,20,no,iPhone,Pull the lever (one person dies).,Push the large man (one person dies).,Harvest the organs from the healthy person (one person dies).,No,8,no,What are you talking about?,What are you talking about?,No,In 'N' Out,Yanny,16
8/23/2023 10:58:20,6 points,Mr. Stout,Male,18,75,13,2,2,30,1322,1445,0,TikTok,30,Disagree,Agree,Agree,purpose beyond ourselves,1,30,center,right of center,FALSE,Black and Blue,Wheels,no,yes,5,no,3,Option A,8,no,iPhone,Pull the lever (one person dies).,Push the large man (one person dies).,Do nothing (five people die).,No,6,yes,Star Wars,What are you talking about?,No,In 'N' Out,Laural,24
8/23/2023 10:58:34,2 points,Mr. Stout,Female,17,64,8,0,14,200,10300,437,7,TikTok,49,Agree,Agree,Disagree,living and learning with integrity,1,0,right of center,left of center,FALSE,Black and Blue,Wheels,no,yes,7,yes,19,Option A,8,yes,iPhone,Pull the lever (one person dies).,Do nothing (five people die).,Do nothing (five people die).,Yes,9,no,Star Trek,What are you talking about?,No,In 'N' Out,Yanny,13
8/23/2023 10:58:48,2 points,Mr. Stout,Female,16,69,9,1,9,40,208,246,4,Instagram,31,Agree,Agree,Disagree,purpose beyond ourselves,1,25,left of center,left of center,TRUE,Black and Blue,Doors,yes,yes,2,yes,3,Option A,15,no,Android,Pull the lever (one person dies).,Push the large man (one person dies).,Harvest the organs from the healthy person (one person dies).,No,8,yes,Star Wars,What are you talking about?,No,In 'N' Out,Laural,25
8/23/2023 10:58:57,2 points,Mr. Stout,Male,18,78,16,0,5,50,1160,1600,4,Instagram,35,Disagree,Agree,Disagree,joyful pursuit of educational excellence,2,50,center,center,TRUE,White and Gold,Wheels,no,yes,3,no,20,Option A,14,no,iPhone,Pull the lever (one person dies).,Push the large man (one person dies).,Harvest the organs from the healthy person (one person dies).,No,6,yes,Star Wars,Nvidia,No,Shake Shack,Laural,16
8/23/2023 10:59:06,2 points,Mr. Stout,Male,17,71,10.5,1,26,40,205,402,0,Instagram,32,Disagree,Disagree,Strongly Agree,purpose beyond ourselves,1,20,center,center,TRUE,Black and Blue,Wheels,no,no,7,yes,19,Option A,10,no,iPhone,Pull the lever (one person dies).,Push the large man (one person dies).,Do nothing (five people die).,No,5,yes,Star Wars,Nvidia,No,In 'N' Out,Yanny,20
8/23/2023 10:59:06,6 points,Mr. Stout,Male,17,70,12,1,17,100,1112,1077,6,TikTok,42,Agree,Agree,Disagree,A diverse and inclusive community,1,40,far left,far left,TRUE,Black and Blue,Doors,yes,yes,10,no,19,Option A,19,no,iPhone,Pull the lever (one person dies).,Push the large man (one person dies).,Harvest the organs from the healthy person (one person dies).,No,6,yes,Star Wars,Nvidia,No,In 'N' Out,Laural,22
8/23/2023 10:59:50,2 points,Mr. Stout,Female,17,64,9.5,3,14,0,321,937,3,Twitter,43,Agree,Agree,Disagree,living and learning with integrity,1,0,left of center,far left,FALSE,Black and Blue,Doors,no,yes,8,no,19,Option A,10,no,iPhone,Pull the lever (one person dies).,Push the large man (one person dies).,Do nothing (five people die).,No,20,yes,Star Wars,What are you talking about?,No,5 Guys,Laural,24
8/23/2023 11:01:18,2 points,Mr. Stout,Male,17,74,10.5,3,6,70,1982,632,3,TikTok,32,Disagree,Disagree,Disagree,joyful pursuit of educational excellence,2,45,center,center,FALSE,White and Gold,Wheels,no,yes,6,yes,19,Option A,9,yes,iPhone,Do Nothing (five people die).,Do nothing (five people die).,Do nothing (five people die).,No,5,yes,Star Wars,What are you talking about?,No,Shake Shack,Laural,24
8/23/2023 14:50:36,2 points,Mr. Stout,Female,17,66,8,1,6,90,1144,1446,1,TikTok,41,Disagree,Disagree,Disagree,joyful pursuit of educational excellence,0,90,center,left of center,FALSE,Black and Blue,Doors,no,no,8,yes,2.8,Option A,11,no,iPhone,Pull the lever (one person dies).,Do nothing (five people die).,Do nothing (five people die).,Yes,9,yes,Star Wars,What are you talking about?,No,In 'N' Out,Laural,16
8/23/2023 21:10:41,6 points,Mr. Stout,Female,17,60,6.5,2,12,50,510,522,1,Instagram,33,Disagree,Disagree,Disagree,A diverse and inclusive community,1,35,left of center,left of center,FALSE,Black and Blue,Wheels,no,no,8,yes,19,Option A,10,no,iPhone,Pull the lever (one person dies).,Push the large man (one person dies).,Harvest the organs from the healthy person (one person dies).,Yes,10,no,Star Wars,What are you talking about?,No,In 'N' Out,Yanny,24
8/28/2023 12:15:25,6 points,Mr. Stout,Male,17,67,8,1,4,70,373,622,1,Instagram,34,Agree,Agree,Agree,joyful pursuit of educational excellence,1,0,far right,right of center,TRUE,White and Gold,Wheels,no,no,2,no,19,Option A,14,no,Android,Pull the lever (one person dies).,Push the large man (one person dies).,Harvest the organs from the healthy person (one person dies).,Yes,5,no,Star Wars,Nvidia,No,In 'N' Out,Laural,7
8/23/2023 9:33:11,2 points,Mr. Weis,Nonbinary,18,70,10,1,11,100,0,0,0,Twitter,50,Disagree,Disagree,Disagree,A diverse and inclusive community,0,0,left of center,left of center,FALSE,Black and Blue,Doors,no,no,6,no,19,Option B,15,no,Android,Pull the lever (one person dies).,Push the large man (one person dies).,Harvest the organs from the healthy person (one person dies).,No,10,no,Star Wars,Nvidia,No,In 'N' Out,Laural,19
8/23/2023 11:20:01,2 points,Mr. Weis,Female,17,65,8,2,1,200,621,607,0,TikTok,36,Agree,Disagree,Disagree,purpose beyond ourselves,2,80,far right,center,FALSE,Black and Blue,Wheels,yes,yes,7,yes,2.8,Option A,18,no,iPhone,Pull the lever (one person dies).,Do nothing (five people die).,Do nothing (five people die).,Yes,10,yes,Star Wars,What are you talking about?,No,Shake Shack,Laural,22
8/23/2023 13:49:26,2 points,Mr. Weis,Male,17,68,10.5,1,7,30,959,1000,0,Twitter,42,Agree,Disagree,Agree,purpose beyond ourselves,1,25,left of center,left of center,FALSE,Black and Blue,Doors,yes,yes,2,no,19,Option A,7,yes,iPhone,Pull the lever (one person dies).,Push the large man (one person dies).,Do nothing (five people die).,No,5,no,Star Wars,Nvidia,No,5 Guys,Laural,9
8/23/2023 14:45:31,6 points,Mr. Weis,Male,17,72,9,0,2,50,188,288,0,Instagram,30,Disagree,Strongly Disagree,Strongly Agree,joyful pursuit of educational excellence,1,10,right of center,center,FALSE,White and Gold,Doors,no,yes,1,no,19,Option A,20,no,iPhone,Do Nothing (five people die).,Push the large man (one person dies).,Do nothing (five people die).,No,8,no,What are you talking about?,Nvidia,No,In 'N' Out,Laural,20
8/23/2023 15:55:33,2 points,Mr. Weis,Male,17,69,10,1,7,40,245,379,1,Instagram,50,Disagree,Disagree,Disagree,joyful pursuit of educational excellence,0,20,far left,far left,FALSE,White and Gold,Wheels,no,yes,8,no,23,Option B,24,no,iPhone,Pull the lever (one person dies).,Do nothing (five people die).,Do nothing (five people die).,Yes,6,yes,Star Wars,Nvidia,No,In 'N' Out,Yanny,19
8/23/2023 16:05:18,6 points,Mr. Weis,Male,17,72,12,2,5,35,1111,1100,1,Twitter,42,Agree,Agree,Disagree,joyful pursuit of educational excellence,1,30,center,center,FALSE,Black and Blue,Wheels,no,no,7,no,19,Option A,15,no,iPhone,Do Nothing (five people die).,Do nothing (five people die).,Do nothing (five people die).,Yes,5,no,Star Wars,What are you talking about?,No,In 'N' Out,Laural,24
8/23/2023 17:37:45,2 points,Mr. Weis,Female,16,63,7,0,7,200,119,200,7,Instagram,40,Strongly Disagree,Disagree,Strongly Disagree,A diverse and inclusive community,2,110,left of center,left of center,FALSE,White and Gold,Wheels,yes,yes,10,no,19,Option A,5,yes,iPhone,Pull the lever (one person dies).,Push the large man (one person dies).,Do nothing (five people die).,Yes,7,no,What are you talking about?,What are you talking about?,No,In 'N' Out,Yanny,15
8/23/2023 17:43:54,6 points,Mr. Weis,Male,17,69,9.5,1,2,50,1025,1358,0,Instagram,50,Disagree,Strongly Agree,Strongly Disagree,joyful pursuit of educational excellence,0,30,left of center,center,FALSE,Black and Blue,Wheels,no,yes,9,no,73,Option A,30,yes,iPhone,Do Nothing (five people die).,Do nothing (five people die).,Do nothing (five people die).,Yes,7,yes,Star Wars,Nvidia,No,In 'N' Out,Laural,24
8/23/2023 18:19:57,2 points,Mr. Weis,Female,17,69,10.5,1,4,0,1587,2325,0,TikTok,46,Disagree,Strongly Agree,Strongly Disagree,living and learning with integrity,0,0,left of center,left of center,FALSE,Black and Blue,Wheels,no,no,8,no,19,Option A,18,no,iPhone,Do Nothing (five people die).,Do nothing (five people die).,Do nothing (five people die).,No,17,no,Star Wars,What are you talking about?,No,5 Guys,Laural,27
8/23/2023 18:36:59,2 points,Mr. Weis,Female,16,62,7,0,20,60,0,0,0,TikTok,40,Agree,Disagree,Disagree,A diverse and inclusive community,1,40,center,left of center,TRUE,Black and Blue,Wheels,no,yes,7,no,19,Option A,12,no,iPhone,Pull the lever (one person dies).,Push the large man (one person dies).,Harvest the organs from the healthy person (one person dies).,No,10,yes,Star Wars,What are you talking about?,No,Shake Shack,Yanny,24
8/23/2023 19:26:51,6 points,Mr. Weis,Male,18,70,11,1,7,100,270,234,0,Instagram,52,Disagree,Strongly Disagree,Agree,joyful pursuit of educational excellence,0,60,right of center,far right,FALSE,Black and Blue,Wheels,no,yes,3,no,19,Option A,6,yes,iPhone,Do Nothing (five people die).,Push the large man (one person dies).,Do nothing (five people die).,No,8,no,Star Trek,Nvidia,No,Shake Shack,Yanny,24
8/23/2023 19:54:59,6 points,Mr. Weis,Male,17,71,11,1,1,50,59,59,0,TikTok,35,Disagree,Agree,Disagree,joyful pursuit of educational excellence,1,40,left of center,left of center,FALSE,Black and Blue,Wheels,no,no,7,no,19,Option A,5,no,iPhone,Pull the lever (one person dies).,Push the large man (one person dies).,Harvest the organs from the healthy person (one person dies).,No,6,yes,Star Wars,What are you talking about?,No,In 'N' Out,Laural,25
8/23/2023 19:56:30,2 points,Mr. Weis,Male,17,70,11,1,3,60,1985,1716,9,Twitter,45,Strongly Disagree,Strongly Agree,Disagree,joyful pursuit of educational excellence,1,35,left of center,left of center,FALSE,Black and Blue,Wheels,yes,yes,7,no,19,Option A,13,no,iPhone,Do Nothing (five people die).,Do nothing (five people die).,Do nothing (five people die).,No,4,no,Star Wars,Nvidia,No,In 'N' Out,Laural,7
8/23/2023 20:13:04,2 points,Mr. Weis,Male,18,75,12.5,1,11,100,1023,783,1,Instagram,34,Disagree,Disagree,Disagree,joyful pursuit of educational excellence,1,50,far left,center,FALSE,White and Gold,Doors,no,yes,4,no,19,Option B,26,no,iPhone,Pull the lever (one person dies).,Push the large man (one person dies).,Do nothing (five people die).,No,6,yes,Star Wars,What are you talking about?,No,Shake Shack,Yanny,25
8/23/2023 20:58:08,2 points,Mr. Weis,Female,16,70,9.5,1,28,100,1171,913,8,Instagram,41,Agree,Agree,Agree,purpose beyond ourselves,1,75,center,center,FALSE,Black and Blue,Wheels,no,yes,7,yes,19,Option A,9,no,iPhone,Pull the lever (one person dies).,Do nothing (five people die).,Do nothing (five people die).,No,7,yes,What are you talking about?,What are you talking about?,No,5 Guys,Laural,17
